830,531,1001,539,732,568,WI
828,546,1000,532,793,578,WI
694,536,979,530,722,591,WI
500,540,838,527,591,577,WI
425,484,611,541,511,567,WI
380,504,428,537,463,565,WI
364,510,353,529,441,573,WI
461,516,392,537,484,562,WI
577,512,516,533,578,555,WI
551,542,706,539,678,560,WI
560,567,862,543,751,570,WI
545,557,811,549,782,573,WI
417,533,695,546,752,575,WI
345,559,606,555,646,585,WI
367,554,560,548,560,572,WI
441,561,545,539,523,575,WI
510,559,577,564,472,578,WI
638,583,674,581,471,578,WI
668,597,832,585,526,577,WI
670,613,912,596,536,587,WI
552,612,707,593,550,586,WI
469,618,548,579,557,592,WI
419,626,595,590,512,601,WI
386,630,771,592,455,599,WI
351,660,766,593,411,584,WI
341,706,578,615,412,582,WI
469,727,509,610,456,590,WI
670,801,655,605,599,583,WI
643,785,903,611,721,588,WI
570,799,883,602,771,599,WI
433,800,651,623,686,595,WI
409,819,591,616,545,593,WI
635,859,678,622,510,583,WI
731,822,750,617,435,590,WI
701,802,715,622,408,581,WI
527,817,759,625,288,590,WI
378,841,871,646,398,592,WI
446,835,779,650,668,592,WI
398,843,616,650,666,583,WI
464,832,594,635,600,569,WI
693,844,764,645,479,571,WI
633,859,784,649,413,580,WI
516,880,689,657,550,578,WI
601,911,640,655,655,571,WI
428,898,811,651,650,573,WI
313,960,825,669,552,568,WI
315,982,629,663,519,571,WI
480,976,546,661,494,579,WI
610,975,591,671,351,581,WI
568,982,646,678,445,580,WI
422,985,626,673,722,578,WI
585,971,601,674,694,575,WI
608,977,663,694,562,582,WI
729,983,742,691,678,582,WI
616,973,729,681,706,585,WI
531,883,645,664,528,603,WI
454,854,560,663,372,614,WI
518,848,598,654,560,615,WI
544,799,675,646,645,618,WI
559,735,640,646,597,614,WI
491,691,526,637,357,603,WI
464,633,598,627,520,598,WI
572,563,756,606,639,592,WI
586,514,736,608,849,598,WI
445,466,697,590,927,606,WI
375,422,734,599,751,613,WI
655,373,732,569,541,604,WI
821,299,671,563,611,598,WI
883,228,667,538,695,614,WI
849,162,792,519,627,616,WI
813,122,794,508,449,604,WI
845,105,757,487,430,614,WI
784,106,740,481,556,609,WI
736,103,851,468,581,610,WI
673,102,775,457,435,614,WI
593,102,635,443,255,613,WI
323,102,675,456,457,623,WI
424,103,685,452,628,616,WI
395,102,570,429,781,617,WI
417,102,566,426,811,609,WI
388,101,598,408,785,624,WI
424,101,609,409,779,621,WI
362,101,567,400,729,618,WI
320,101,695,403,714,619,WI
672,102,580,409,709,638,WI
708,104,528,405,811,658,WI
591,101,827,411,704,686,WI
370,101,819,402,519,740,WI
210,101,570,416,379,771,WI
495,105,509,414,335,843,WI
648,103,737,419,333,880,WI
381,101,718,422,477,905,WI
283,101,777,429,390,919,WI
385,101,621,452,258,934,WI
496,101,550,453,583,905,WI
480,103,589,458,697,892,WI
480,101,713,471,612,857,WI
558,101,774,478,427,797,WI
536,105,805,473,233,748,WI
394,102,780,477,478,698,WI
468,103,747,487,742,651,WI
471,101,694,480,649,618,WI
373,101,652,477,507,588,WI
306,102,647,477,429,544,WI
441,103,599,489,469,544,WI
565,102,592,487,483,526,WI
629,102,616,490,459,532,WI
648,106,665,483,554,559,WI
582,102,707,503,518,576,WI
562,102,720,498,425,588,WI
627,102,711,500,448,607,WI
698,102,644,524,531,634,WI
731,102,566,511,490,657,WI
730,103,529,515,444,649,WI
654,103,569,524,517,657,WI
568,103,664,528,652,647,WI
582,107,733,528,723,649,WI
578,104,708,541,764,654,WI
577,105,628,546,786,664,WI
543,110,577,541,785,667,WI
430,117,604,532,753,674,WI
374,139,675,534,708,671,WI
392,147,758,544,659,673,WI
416,185,809,543,612,669,WI
487,204,780,513,583,664,WI
490,250,721,521,622,659,WI
503,262,690,525,667,648,WI
677,303,702,522,661,645,WI
858,324,717,521,636,641,WI
919,379,720,517,573,614,WI
774,420,731,519,496,593,WI
682,452,774,504,384,572,WI
605,476,861,510,292,542,WI
278,554,845,512,301,512,WI
98,545,792,496,393,485,WI
105,561,709,485,530,457,WI
222,610,579,490,677,436,WI
455,636,553,485,776,429,WI
670,663,572,468,835,419,WI
760,700,591,449,820,400,WI
647,713,617,458,682,388,WI
594,753,651,444,598,392,WI
624,793,701,445,488,375,WI
531,830,727,426,281,369,WI
455,867,730,442,192,361,WI
469,882,707,430,225,343,WI
532,899,680,431,372,348,WI
553,922,659,428,529,348,WI
564,971,682,427,728,343,WI
655,964,670,448,779,358,WI
776,973,614,449,673,353,WI
902,966,547,455,670,346,WI
900,963,556,449,644,341,WI
703,972,640,440,517,352,WI
371,969,764,464,462,367,WI
109,971,806,472,509,368,WI
165,975,655,476,629,381,WI
416,981,466,488,674,405,WI
515,986,435,495,677,399,WI
514,976,545,500,744,415,WI
583,977,739,506,875,420,WI
654,978,829,526,956,427,WI
718,982,718,531,885,446,WI
780,984,594,550,673,456,WI
599,987,627,561,473,473,WI
